facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
CLOVERLEAF-PHASE 2 & 3,NE OF ALSIKE CLOVER CT AND CRIMSON CLOVER DR,UNINCORPORATED,CO,80132,110071659292,,39.08086,-104.84587,COR422658,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071659292,
CLOVIS POINT,1855 LEFTHAND CREEK LANE,LONGMONT,CO,80501,110070564378,,40.142944,-105.124763,COR405359,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070564378,
CLUB CAR WASH,2122 NORTH AVE,GRAND JUNCTION,CO,81501,110071867211,,39.07795,-108.540033,COR425336 COR425339,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071867211,
CLUB CAR WASH - LOVELAND,4465 OPALITE DRIVE,LOVELAND,CO,80537,110072201406,,40.4065,-105.01301,COR430879,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072201406,
CLUB CAR WASH - NORTH GATE BOULEVARD,235 FT SE OF THE N GATE BLVD AND ROLLER COASTER RD,COLORADO SPRINGS,CO,80921,110071961091,,39.028723,-104.781334,COR427864,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071961091,
"CLUB ESTATES AT REDLANDS MESA LOTS 1, 2, 3, 7, + 8",W RIDGES BLVD AND HIGH DESERT RD,GRAND JUNCTION,CO,81507,110071254630,,39.05994,-108.621977,COR416093,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071254630,
CLUB VILLAS,2324 LONETREE,GRAND JUNCTION,CO,81507,110070928574,,39.060166,-108.620209,COR411934,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070928574,
CMC REBAR BRIGHTON,455 IDA ST,BRIGHTON,CO,80603,110043671238,332312,40.003333,-104.818889,CONOX0835,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110043671238,
CMC REBAR INC,5353 FRANKLIN STREET,DENVER,CO,80216,110031106755,332312,39.79385,-104.96875,COR201226 COR900674,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110031106755,
CMC STUDENT HOUSING EDWARDS - PHASE 3,1070 FT S OF EDWARDS ACCESS RD AND MILLER RANCH RD,EDWARDS,CO,81632,110071927417,,39.645269,-106.587735,COR426623,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071927417,
