facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd,facility_type,receiving_waters
UPPER MOUNTAIN TOP,HWY 550 TO DR 361 TO CR26A,OURAY COUNTY,CO,81427.0,110069417946,,38.025835,-107.609747,COR040292,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069417946,,,
UPPER MONUMENT CRK REG WWTF,1335 WEST BAPTIST ROAD,COLORADO SPRINGS,CO,80921.0,110006781241,,39.056555,-104.854676,CO0042030 COG072306,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110006781241,1.75,,
UPPER ANIMAS SAND AND GRAVEL PIT 2,SH 110 3.5 MI NE OF TOWN,SILVERTON,CO,81433.0,110070063578,,37.8528,-107.575,COG502032,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063578,,,
UPPER ANIMAS SAND AND GRAVEL PIT 1,HWY 110 3.5 MI NE OF TOWN,SILVERTON,CO,81433.0,110070054613,,37.858543,-107.572222,COG501934,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070054613,,,
UPLINK FACILITY,7235 WEST TITAN ROAD,DOUGLAS COUNTY,CO,80125.0,110006782008,,39.508403,-105.02167,CO0043532 COG600301 COG605011,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110006782008,,,
UNIVAIR AIRCRAFT CORP,2500 HIMALAYA RD,AURORA,CO,80011.0,110002963810,,39.75383,-104.75391,COR900003,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110002963810,,,
UFP LAFAYETTE LLC,1201 S BOULDER RD,LAFAYETTE,CO,80026.0,110046293783,,39.986557,-105.075224,COR900595,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046293783,,,
U PULL AND PAY AURORA,1370 ZENO ST,AURORA,CO,80011.0,110054100316,,39.737937,-104.772937,COR900738,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110054100316,,,
TWO FEATHERS PIT,13124 6175 RD,MONTROSE,CO,81401.0,110070097745,,38.503152,-107.935002,COG501949,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070097745,,,
34501 EAST QUINCY AVENUE WWTF,34501 E QUINCY AVE,AURORA,CO,80016,110037456589,,39.637977,-104.748644,COX631003,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110037456589,,,
20 ROAD GRAVEL PIT,2012 RIVER RD,FRUITA,CO,81521,110030439041,,39.127222,-108.680556,COG500491,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110030439041,,,
1401 WYNKOOP PARKING GARAGE,1400 WEWATTA ST,DENVER COUNTY,CO,80202,110037942171,,39.7502,-105.00474,COG318069 COG603107,Effluent - Monthly Average Limit,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110037942171,,,
URAD MINE,1746 CR 202,EMPIRE,CO,80438.0,110064623073,,39.756031,-105.826796,CO0041467,Violation Identified,Y,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110064623073,4.2,,
LARKSPUR TRAVEL CENTER,255 UPPER LAKE GULCH ROAD,LAKSPUR,CO,80118,110069216850,,39.244083,-104.880194,COR03P483 COR403378 COR418773,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110069216850,,,
LEADVILLE SANITATION DISTRICT,13867 SOUTH HIGHWAY 24,LEADVILLE,CO,80461,110012361336,,39.229002,-106.330872,CO0021164 COR411153,Violation Identified,Y,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110012361336,1.15,,
AVONDALE & FORT REYNOLDS WWTPS,ALONG HIGHWAY 50,AVONDALE,CO,81022,110010054190,,38.240115,-104.349869,CO0021075,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010054190,0.253,,
STEAMBOAT SPRINGS WWTP,39565 ROUTT CR 33,STEAMBOAT SPRINGS,CO,80487,110055978811,,40.48561,-106.84335,CO0020834 COG600127 COG650046,Violation Identified,Y,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110055978811,5.0,,
ALMA TOWN OF,STATE HWY 9,ALMA,CO,80420,110071541260,,39.277544,-106.055927,COG591177,Effluent - Monthly Average Limit,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071541260,,,
ARAPAHOE PARK RACETRACK,26000 E QUINCY AVE,ARAPAHOE COUNTY,CO,80016,110010055698,,39.63835,-104.679316,COG582026 COG589073 COG591073 COL582026,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010055698,,,
LIGHTNER CREEK MHP,907 COUNTY RD 207,DURANGO,CO,81301,110010781332,,37.29074,-107.93771,COX029904,Terminated Permit,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010781332,,,
LOESCH PIT,4845 CR 346 N,SILT,CO,81652,110010056465,,39.538333,-107.7125,COG500252,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110010056465,,,
BATH AUGMENTATION POND,NEAR 20385 HIGHWAY 34,FORT MORGAN,CO,80701,110027855300,,40.258611,-103.765,COG600772 COG601032,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110027855300,,,
STEAMBOAT MOUNTAIN SCHOOL WWTF,42605 CR 36,STEAMBOAT SPRINGS,CO,80487,110071539306,,40.537744,-106.823968,COG591147,Failure to Report DMR - Not Received,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110071539306,,,
MT CB WATER + SANITATION DISTRICT WATER TREATMENT PLANT EXPANSION,100 GOTHIC ROAD,MOUNT CRESTED BUTTE,CO,81225,110039695577,,38.89269,-106.97122,CO0027171 COR409238,Violation Identified,Y,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110039695577,1.2,,
CEDAREDGE WWTP,14673 HARTS BASIN RD,CEDAREDGE,CO,81413,110055971569,,38.871111,-107.923889,CO0031984 COG591173 COR03O899,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110055971569,,,
MOSCA WWTF,8857 5 AVE,MOSCA,CO,81146,110070218892,,37.6518,-105.8674,COX631079,Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110070218892,,,
NARROW GAUGE MHP,26068 HWY 160 E,BAYFIELD,CO,00000,110037940823,,37.226056,-107.726972,COG589077 COG591077,No Violation Identified,,,Y,11,https://echo.epa.gov/detailed-facility-report?fid = 110037940823,,,
